"Interval start","witness 1","witness 2","witness 3"
422,4796,4638,5206
423,5616,5458,4460
424,4796,4228,4796
425,5382,6696,5764
426,4070,5002,5002
427,5484,5064,5244
428,5234,4144,5234
429,4796,4638,4386
430,4608,4450,4608
431,4386,4228,4386
432,5081,4070,5081
433,3912,3912,3912
434,4997,3986,4997
435,5854,4450,5854
436,4476,4228,4476
437,5538,5620,5538
438,5542,6474,5318
439,4460,4460,4302
440,5838,6984,7236
441,5160,4386,5160
442,5318,4386,5318
443,4386,4386,4228
444,4460,4870,4712
445,4608,4608,4450
446,4386,4386,4228
447,6811,6391,5402
448,3912,3912,3912
449,3986,4144,4144
450,4981,3897,4744
451,4160,5081,5171
452,4638,4796,4386
453,5884,6042,4386
454,5313,5723,4870
455,4608,5696,5854
456,4386,4228,4386
457,5958,5560,5538
458,5160,4070,5160
459,3986,3986,3986
460,4134,4470,4470
461,3912,3986,3986
462,5491,5491,4070
463,4796,4386,4638
464,4460,4460,4302
465,6034,4534,5802
466,4386,4870,4712
467,5538,5778,5380
468,6744,6744,4228
469,3986,4918,4918
470,6393,6622,6543
471,3912,3986,3986
472,3912,3912,3912
473,4322,3912,4322
474,4396,4396,3986
475,4060,4060,4060
476,3986,4396,4396
477,6473,5222,6233
478,4796,4228,4796
479,5313,5313,4460
480,5532,4534,5690
481,5313,4460,5313
482,4386,4386,4228
483,5542,5542,4228
484,4460,4460,4302
485,4534,5870,5712
486,5313,4870,5881
487,5620,5538,5538
488,4228,4386,4386
489,4302,4460,4460
490,4376,5466,5466
491,3986,3986,3986
492,5081,5934,5081
493,4386,4228,4386
494,4460,4302,4460
495,6100,4786,5690
496,4460,4712,4870
497,5948,6962,6312
498,5542,5542,4228
499,4460,4460,4302
500,4534,6460,6302
501,4460,4460,4302
502,4386,4386,4228
503,7182,6250,5318
504,4302,4460,4460
505,4376,4534,4534
506,4302,4460,4460
507,6030,5718,6128
508,4228,4386,4386
509,4712,4460,4870
510,5532,4534,5690
511,4076,4997,5087
512,5239,4228,5239
513,5542,5384,4386
514,4460,4302,4460
515,4534,5802,5960
516,4460,4302,4460
517,5958,5380,5718
518,5318,4228,5318
519,3986,3986,3986
520,4396,4806,4470
521,4060,4060,3986
522,3912,3912,3912
523,4322,4322,3912
524,4554,5076,5486
525,5728,4460,5960
526,4376,4534,4460
527,5380,5868,5628
528,6906,6654,4796
529,5328,3986,5328
530,3986,5822,5896
531,4060,4060,3986
532,5081,4070,5081
533,4386,4228,4386
534,4460,4302,4460
535,4796,4712,4386
536,5382,5466,4608
537,5470,5868,5718
538,5160,4386,5160
539,5313,4460,5313
540,5294,4460,5452
541,4630,4534,4788
542,4638,4386,4796
543,5316,6406,5160
544,4396,3986,4396
545,4322,5772,6108
546,4544,4470,4134
547,5484,5064,5244
548,3912,3912,3912
549,3986,3986,3986
550,5239,6171,5318
551,5145,4134,5145
552,3912,3912,3912
553,3912,3912,3912
554,4228,5318,5392
555,5818,4460,5902
556,5871,5018,5461
557,5538,5778,5380
558,5542,6474,5318
559,4386,4228,4386
560,5313,6469,5616
561,4292,5303,5303
562,3912,3912,3912
563,4322,4322,3912
564,3912,4322,4322
565,3986,3986,3986
566,4134,4134,4134
567,5804,5334,5654
568,3912,3912,3912
569,3912,3912,3912
570,5142,3986,5142
571,5461,4450,5461
572,4386,4228,4386
573,5722,6575,5239
574,4844,4844,3912
575,5392,6638,5548
576,4608,4608,4450
577,5868,6538,6470
578,4386,4386,4228
579,4386,4386,4228
580,4460,4460,4302
581,6882,6472,4860
582,4386,4386,4228
